Em qual modelo de trabalho você se enquadra atualmente?;Caso você tivesse que escolher entre as opções de trabalho abaixo, qual você escolheria? 
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Home Office;Home Office
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Coworking, onde escolho um espaço para ir trabalhar
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Coworking, onde escolho um espaço para ir trabalhar
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Presencial
Presencial;Presencial
Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual);Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual);Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Autonomo, possibilitando escolher horarios e locais de trabalho;Coworking, onde escolho um espaço para ir trabalhar
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Presencial
Trabalho num piriri;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Presencial
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual);Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Aposentada;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Presencial;Presencial
Home Office;Home Office
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Presencial
Home Office;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Nada pôr enquanto;H
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Presencial
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Presencial
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Home Office
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Presencial;Presencial
Home Office;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Presencial;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Presencial;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Presencial
Presencial;Presencial
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Home Office
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual);Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Home Office;Hibrido + Otimizado
Home Office;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Home Office;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Presencial;Presencial
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Home Office
Presencial;Presencial
Presencial;Presencial
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Externo
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa
Hibrido, possibilidade de trabalhar tanto de casa quanto da empresa e seguindo os padrões de horários da empresa;Otimizado, possibilidade de escolher os horários que gostaria de trabalhar (dentro da carga horaria contratual)
Home Office;Home Office
Presencial;Presencial
